Sector,Ticket type,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Long distance,Season,100,104.242916547213,109.007448838751,116.134858520676,123.063065940759,135.236053945044,134.758703567919,142.885579956343,151.371454831215,158.264866099422,163.490339159511,167.723113933483,168.851323806648,172.187920633971,177.821945649555,183.595640460679,188.68015949504,193.181186843793,200.377513632423,211.93704390133271,222.17157273684523,232.0046834087358
Long distance,Super Off Peak,100,105.676071177919,110.943730477177,115.239327497439,124.735668623961,132.170557844061,133.074482974717,139.077261923948,147.267165375054,153.760489070473,157.416197969622,159.310485762761,160.536406840673,163.850367922112,169.095993114563,173.999074375412,177.999592231343,180.876032177828,187.40109292697,198.42904397091596,208.27362675907003,218.0736446520732
Long distance,Other,100,104.594126287494,113.777741663641,125.788512330069,139.527993984164,137.606420255687,139.329887160527,150.983263226461,161.063616293901,164.135679604442,165.744589858364,168.28296958651,171.226799672418,173.709500242624,179.225259946483,182.715958578539,184.809267787152,186.314978875921,NA,NA,NA,NA
Long distance,All tickets,100,104.738537127975,113.150127712686,120.680786503751,128.608779470661,139.410735694588,140.655695019188,148.271116472799,157.280684034166,163.71023935086,167.898892671359,171.202504508575,172.220759600675,173.102053653382,177.112915826322,182.170628683122,186.195589087371,184.068776044109,195.261869143311,206.86469954838392,215.64862025267473,227.24746424740877
Regional,Advance,100,103.585125056839,109.413854190401,112.877176184537,125.051038505409,134.805729947727,138.159227795343,144.024101111288,151.946547163436,157.835749095085,158.986941144397,161.19675742316,158.629884368192,169.014238564661,177.187128608383,184.165092661063,184.494302737687,190.418030558015,203.030782658906,210.37745223337265,227.79440187461708,232.8950348902707
Regional,Anytime,100,104.473971798905,110.041794116201,115.829055027727,122.832900899391,132.212550201275,132.995390894668,141.099759937024,150.425222340907,157.107611810333,161.072847454359,164.861286820634,167.037903728634,170.269110129508,176.595373211323,182.370269801118,186.958530183054,191.368665224468,198.0673330421,206.69275532343053,219.99177114035768,229.8569592360337
Regional,Off Peak,100,104.272770691815,109.260173627545,114.276117458262,120.0745187155,128.512013989267,130.137399903834,137.846164280526,146.458627542143,152.947932387682,156.117491583247,159.632173639393,161.782689183347,163.892989256694,169.884510819451,175.209365842908,179.284683291742,182.554353764918,188.917603095506,197.17165659162737,210.23320770146006,220.17356774687602
Regional,Season,100,104.105402892083,108.379686289685,113.057804870733,118.440936246397,126.28315894782,126.184107369586,133.524862466509,141.856355513288,148.180675540274,152.43347942668,156.354227519813,157.786259188941,160.197738385277,165.304375661165,169.848582772236,173.606889202225,177.481179943274,184.755348887233,193.21147166992554,204.20682264424448,207.5988673322128
Regional,Super Off Peak,100,99.935956601651,102.207145789087,111.706426384404,111.819253082844,125.154134990769,134.454095590321,140.206653096596,151.614934822582,162.458829492444,171.835679613153,180.53482818902,180.957819825264,183.884670930118,188.700983946246,195.822386587808,200.43390228885,202.816986200336,209.332725141815,221.91755808558605,236.25544734150552,253.91501401007338
Regional,Other,100,101.925222467355,106.077796359985,107.225667967794,113.277599593734,122.69131358864,123.007362080742,134.317021703025,143.49722381834,149.389237271824,153.796677526852,155.424688645555,157.089761329557,156.43532077536,163.462371434734,166.738074571856,170.241271252691,174.143895370294,NA,NA,NA,NA
Regional,All tickets,100,104.226022195801,109.326798358352,114.639437504969,120.946744149605,129.706787726054,130.836851143995,138.54009114085,147.377858619789,153.926305113715,157.513601999094,161.095823617705,162.631974241573,166.054379679763,172.272285580332,177.801875081476,181.467858687577,185.520963127142,193.004763209223,201.3287677423381,215.0075511415808,223.60144627232262
All operators,Advance,100,104.525167108711,110.797213051153,122.390359283699,131.543121381659,142.09132298461,140.295826492821,146.845940831267,155.0035695685,161.89168307628,165.27942256516,170.175213837382,170.042832003763,166.158465151192,167.99998346147,172.586963938279,174.637306599965,167.534424682241,182.322964793898,193.23953892901645,200.53301041351284,212.02017788299887
All operators,Anytime,100,104.624202481617,112.469798716716,119.615150756984,127.835629488604,138.854413858358,140.877497056596,149.081909107403,158.588926305337,165.199668337517,169.506796940301,172.431314727127,173.954106847989,177.576118021581,183.034773446529,188.176430399767,193.194167497521,198.04158063725,205.296986651413,216.43762782307184,227.4998165923638,237.94590498035734
All operators,Off Peak,100,104.844928017761,110.591957995849,115.502068085441,121.563234732853,130.195046002399,131.716704028977,139.908888127373,148.70067760576,155.122472357425,159.091491304235,162.181702688552,163.981465217807,167.181752304639,173.286981138923,178.208985919048,182.830628992525,184.683236180336,191.619503280745,202.65715030284017,213.5877002447214,224.36816481982143
All operators,Season,100,104.635618374694,108.897501747432,114.197328989744,120.702810129916,128.181761028178,128.139417174527,137.111125691342,145.317042624789,151.468915289435,156.130364980394,160.225095624812,161.10922627154,163.587213091997,168.686431359064,173.398229701944,178.116757141671,182.403097905305,188.842552238836,199.44226891034344,209.37441749364208,218.36821769935668
All operators,Super Off Peak,100,104.761904263999,108.677226034835,113.517735014072,122.648219461604,132.813535995304,133.854544665523,140.046205719573,148.424351403919,155.276131516285,159.796079384298,162.352846380341,163.54248945949,166.662544378014,172.710102862688,177.833689611756,182.767569463343,186.712889575176,193.519935327662,204.994279279645,216.48548775225035,229.1783088408346
