Sector,Ticket type,Year,Fare_Index,YoY_Change,Cumulative_Inflation
All operators,Other,2005,104.024855918459,4.0248559184589965,4.0248559184589965
All operators,Other,2006,112.02506302257,7.690668767070484,12.025063022569995
All operators,Other,2007,121.778906726785,8.70684063105581,21.778906726784996
All operators,Other,2008,134.362085209579,10.332806247821532,34.36208520957899
All operators,Other,2009,146.670887345853,9.160919255662524,46.670887345853004
All operators,Other,2010,148.225907538706,1.0602105305235,48.225907538706
All operators,Other,2011,160.522406565474,8.295782586830875,60.522406565474
All operators,Other,2012,170.950687733972,6.496464507118197,70.95068773397199
All operators,Other,2013,176.377835085505,3.1746858836734115,76.37783508550501
All operators,Other,2014,179.099979313966,1.5433595877516815,79.099979313966
All operators,Other,2015,181.319983988473,1.2395337414390737,81.31998398847301
All operators,Other,2016,183.60784603922,1.2617815203934861,83.60784603922
All operators,Other,2017,184.402174429222,0.43262224743506833,84.40217442922199
All operators,Other,2018,190.849445085201,3.4963094529309053,90.84944508520101
All operators,Other,2019,194.285453923389,1.800376645923211,94.28545392338901
All operators,Other,2020,199.20702363966,2.533164278068741,99.20702363966001
All operators,Other,2021,202.52693313303,1.6665624698932786,102.52693313303001
All operators,Other,2022,NA,NA,NA
All operators,Other,2023,NA,NA,NA
All operators,Other,2024,NA,NA,NA
All operators,Other,2025,NA,NA,NA
All operators,Season,2004,100,NA,0
All operators,Season,2005,104.635618374694,4.635618374694005,4.635618374694005
All operators,Season,2006,108.897501747432,4.073071329761194,8.897501747432003
All operators,Season,2007,114.197328989744,4.866803330900996,14.197328989743994
All operators,Season,2008,120.702810129916,5.696701663448068,20.702810129916003
All operators,Season,2009,128.181761028178,6.196169658529216,28.181761028177988
All operators,Season,2010,128.139417174527,-0.03303422679742088,28.13941717452701
All operators,Season,2011,137.111125691342,7.001521245094672,37.11112569134201
All operators,Season,2012,145.317042624789,5.984865846641616,45.317042624788996
All operators,Season,2013,151.468915289435,4.233414438890164,51.46891528943499
All operators,Season,2014,156.130364980394,3.0774959218871194,56.130364980394006
All operators,Season,2015,160.225095624812,2.6226356704746068,60.22509562481201
All operators,Season,2016,161.10922627154,0.5518053481448933,61.109226271539995
All operators,Season,2017,163.587213091997,1.5380787791013941,63.587213091997
All operators,Season,2018,168.686431359064,3.1171252145479893,68.68643135906399
